Bus ID,lat,lng,Zone,Sub Name,Bus Name,Area,BaseKV,PU Volt,Volt (kV),Angle (Deg),MW Load,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num,Bus Type,Sub Area
150432,32.7283,-97.2192,5,KENNEDALE_8,KENNEDALE_8_3,North_Central,13.8,1.07232,14.798,-43.53,0.0,,102.65,2184,221.41,,0,0,1,PQ (Gens at Var Limit),0
170519,32.8359,-96.5458,5,SUNNYVALE_6,SUNNYVALE_6_3,North_Central,13.8,1.07104,14.78,-48.18,0.0,,193.53,2863,175.21,,0,0,1,PQ (Remote Reg Secondary),0
150524,32.3377,-97.7346,5,RAINBOW_5,RAINBOW_5_4,North_Central,13.8,1.0708,14.777,-34.53,0.0,,166.16,2207,166.85,,0,0,1,PQ (Gens at Var Limit),0
111390,29.2894,-96.0654,7,WHARTON_4,WHARTON_4_2,Coast,18.0,1.06997,19.259,-42.05,0.0,,226.65,873,134.46,,0,0,1,PV (Remote Reg Primary),0
111352,29.7134,-95.1345,7,DEER_PARK_14,DEER_PARK_14_7,Coast,20.0,1.0691,21.382,-53.03,0.0,,66.37,861,78.79,,0,0,1,PQ (Gens at Var Limit),0
150525,32.3377,-97.7346,5,RAINBOW_5,RAINBOW_5_5,North_Central,13.8,1.06867,14.748,-35.23,0.0,,108.92,2207,167.61,,0,0,1,PQ (Gens at Var Limit),0
407,29.4924,-94.9848,7,BACLIFF_3,BACLIFF_3_9_407,Coast,13.8,1.06796,14.738,-29.37,0.0,,187.23,874,95.92,,0,0,1,PQ (Gens at Var Limit),0
160255,27.8139,-97.4283,4,CORPUS_CHRISTI_31,CORPUS_CHRISTI_31_4,South,18.0,1.06735,19.212,-2.2,0.0,,61.42,2416,83.99,,0,0,1,PQ (Gens at Var Limit),0
260210,32.4302,-97.0537,5,VENUS_3,VENUS_3_5,North_Central,13.8,1.06735,14.729,-40.94,0.0,,123.76,4715,132.34,,0,0,1,PQ (Gens at Var Limit),0
240317,31.2081,-101.1108,1,BARNHART_2,BARNHART_2_3,Far_West,13.8,1.06728,14.728,13.96,0.0,,109.37,4221,108.52,,0,0,1,PV (Remote Reg Primary),0
111360,28.9888,-95.3954,7,CLUTE_7,CLUTE_7_2,Coast,18.0,1.06724,19.21,-45.3,0.0,,169.4,863,86.22,,0,0,1,PQ (Gens at Var Limit),0
111314,29.7248,-95.1765,7,PASADENA_7,PASADENA_7_5,Coast,13.2,1.0672,14.087,-52.34,0.0,,109.04,854,80.36,,0,0,1,PQ (Remote Reg Secondary),0
150489,33.0583,-97.9103,5,POOLVILLE_2,POOLVILLE_2_3,North_Central,18.0,1.0671,19.208,-30.87,0.0,,225.0,2194,114.52,,0,0,1,PQ (Gens at Var Limit),0
111392,29.2894,-96.0654,7,WHARTON_4,WHARTON_4_4,Coast,13.8,1.06689,14.723,-41.89,0.0,,263.66,873,134.46,,0,0,1,PQ (Remote Reg Secondary),0
260208,32.4302,-97.0537,5,VENUS_3,VENUS_3_3,North_Central,13.2,1.06648,14.078,-41.16,0.0,,113.41,4715,132.34,,0,0,1,PQ (Gens at Var Limit),0
160210,28.7128,-97.2142,4,FANNIN_6,FANNIN_6_2,South,22.0,1.06617,23.456,-9.65,0.0,,212.55,2405,173.24,,0,0,1,PV (Remote Reg Primary),0
260212,32.4302,-97.0537,5,VENUS_3,VENUS_3_7,North_Central,13.8,1.06588,14.709,-40.96,0.0,,137.74,4715,142.01,,0,0,1,PQ (Gens at Var Limit),0
200189,26.5223,-97.6911,4,SAN_PERLITA_3,SAN_PERLITA_3_3,South,22.0,1.06571,23.446,37.69,0.0,,228.0,3295,109.59,,0,0,1,PQ (Gens at Var Limit),0
170565,33.5826,-96.6179,2,SHERMAN_5,SHERMAN_5_4,North,13.8,1.06497,14.697,-44.49,0.0,,37.49,2873,104.34,,0,0,1,PQ (Gens at Var Limit),0
230284,30.5924,-95.9178,8,SHIRO_3,SHIRO_3_2,East,24.0,1.06451,25.548,-40.69,0.0,,172.07,3997,201.06,,0,0,1,PQ (Gens at Var Limit),0
150478,32.3342,-97.7317,5,RAINBOW_4,RAINBOW_4_4,North_Central,13.8,1.06411,14.685,-35.46,0.0,,73.09,2192,108.16,,0,0,1,PQ (Gens at Var Limit),0
230266,29.9173,-96.7506,6,FAYETTEVILLE_2,FAYETTEVILLE_2_4,South_Central,13.8,1.06378,14.68,-23.61,0.0,,401.0,3993,108.82,,0,0,1,PQ (Remote Reg Secondary),0
150428,33.1344,-98.6117,5,GRAHAM_3,GRAHAM_3_3,North_Central,13.8,1.06365,14.678,-26.99,0.0,,134.04,2183,118.2,,0,0,1,PV (Remote Reg Primary),0
170563,33.5826,-96.6179,2,SHERMAN_5,SHERMAN_5_2,North,13.8,1.06344,14.675,-43.49,0.0,,130.0,2873,150.66,,0,0,1,PQ (Gens at Var Limit),0
210346,31.3834,-98.4667,5,GOLDTHWAITE_6,GOLDTHWAITE_6_5,North_Central,22.0,1.0628,23.382,-15.9,0.0,,150.0,3577,73.47,,0,0,1,PQ (Gens at Var Limit),0
200169,26.3404,-98.19,4,EDINBURG_15,EDINBURG_15_3,South,24.0,1.06248,25.499,34.08,0.0,,26.92,3289,95.47,,0,0,1,PV (Remote Reg Primary),0
260213,32.4302,-97.0537,5,VENUS_3,VENUS_3_8,North_Central,24.0,1.06241,25.498,-41.51,0.0,,109.41,4715,144.56,,0,0,1,PQ (Gens at Var Limit),0
240221,32.214,-100.0571,3,WINGATE_3,WINGATE_3_2,West,13.8,1.062,14.656,15.48,0.0,,299.0,4189,129.27,,0,0,1,PQ (Gens at Var Limit),0
260211,32.4302,-97.0537,5,VENUS_3,VENUS_3_6,North_Central,13.8,1.062,14.656,-40.85,0.0,,150.73,4715,131.83,,0,0,1,PQ (Gens at Var Limit),0
240320,30.595,-101.453,1,OZONA_4,OZONA_4_3,Far_West,13.8,1.06198,14.655,20.32,0.0,,123.43,4222,93.93,,0,0,1,PV (Remote Reg Primary),0
130359,32.7563,-96.4916,5,FORNEY_3,FORNEY_3_3,North_Central,13.8,1.06192,14.655,-49.24,0.0,,183.65,1571,186.62,,0,0,1,PV (Remote Reg Primary),0
180137,26.6491,-99.0387,4,LOPENO_3,LOPENO_3_3,South,13.8,1.06153,14.649,35.42,0.0,,237.6,2994,89.5,,0,0,1,PQ (Gens at Var Limit),0
295,33.6968,-95.5577,2,PARIS_6,PARIS_6_6_295,North,13.8,1.061,14.642,-11.75,0.0,,238.63,2868,58.18,,0,0,1,PQ (Remote Reg Secondary),0
294,33.6968,-95.5577,2,PARIS_6,PARIS_6_6_294,North,13.8,1.06092,14.641,-11.69,0.0,,241.58,2868,58.18,,0,0,1,PQ (Remote Reg Secondary),0
293,33.6968,-95.5577,2,PARIS_6,PARIS_6_6_293,North,13.8,1.06069,14.637,-11.5,0.0,,250.0,2868,58.18,,0,0,1,PV (Remote Reg Primary),0
111339,29.4731,-95.6244,7,THOMPSONS_7,THOMPSONS_7_3,Coast,18.0,1.06005,19.081,-45.59,0.0,,193.0,859,98.24,,0,0,1,PQ (Gens at Var Limit),0
130360,32.7563,-96.4916,5,FORNEY_3,FORNEY_3_4,North_Central,20.0,1.05957,21.191,-48.43,0.0,,346.69,1571,186.62,,0,0,1,PQ (Remote Reg Secondary),0
220174,32.2353,-101.8367,1,LENORAH_1,LENORAH_1_3,Far_West,13.8,1.05955,14.622,27.1,0.0,,120.0,3712,42.89,,0,0,1,PV (Remote Reg Primary),0
220142,31.8403,-102.3264,1,ODESSA_18,ODESSA_18_2,Far_West,22.0,1.05953,23.31,28.58,0.0,,52.1,3703,77.29,,0,0,1,PV (Remote Reg Primary),0
220149,31.2092,-102.2417,1,MC_CAMEY_2,MC_CAMEY_2_2,Far_West,18.0,1.05928,19.067,34.17,0.0,,278.0,3704,81.85,,0,0,1,PV (Remote Reg Primary),0
111313,29.7248,-95.1765,7,PASADENA_7,PASADENA_7_4,Coast,13.8,1.05916,14.616,-52.1,0.0,,165.0,854,80.36,,0,0,1,PV (Remote Reg Primary),0
111319,29.837,-95.1217,7,CHANNELVIEW_14,CHANNELVIEW_14_3,Coast,13.8,1.059,14.614,-52.33,0.0,,134.39,855,82.46,,0,0,1,PQ (Gens at Var Limit),0
150437,32.6581,-98.3103,5,GORDON_3,GORDON_3_4,North_Central,13.8,1.05897,14.614,-22.04,0.0,,112.66,2185,101.8,,0,0,1,PQ (Gens at Var Limit),0
130366,32.7563,-96.4916,5,FORNEY_3,FORNEY_3_10,North_Central,13.8,1.05894,14.613,-49.08,0.0,,105.04,1571,80.93,,0,0,1,PQ (Gens at Var Limit),0
160249,27.8894,-97.2584,4,GREGORY_3,GREGORY_3_3,South,20.0,1.0589,21.178,-1.71,0.0,,33.5,2415,65.58,,0,0,1,PV (Remote Reg Primary),0
220007,29.4871,-103.381,1,TERLINGUA_2,TERLINGUA_2_1,Far_West,138.0,1.05888,146.125,35.29,0.0,,,3589,,-0.67,0,0,1,PQ,0
230264,29.9173,-96.7506,6,FAYETTEVILLE_2,FAYETTEVILLE_2_2,South_Central,13.8,1.05881,14.612,-25.6,0.0,,356.8,3993,108.82,,0,0,1,PV (Remote Reg Primary),0
220006,29.4262,-103.51,1,TERLINGUA_1,TERLINGUA_1_1,Far_West,138.0,1.05876,146.109,35.29,7.35,2.3,,3588,,,0,0,1,PQ,0
111341,29.4731,-95.6244,7,THOMPSONS_7,THOMPSONS_7_5,Coast,13.8,1.05821,14.603,-45.82,0.0,,166.0,859,84.49,,0,0,1,PQ (Gens at Var Limit),0
190136,35.4428,-101.3728,2,PANHANDLE_6,PANHANDLE_6_2,North,24.0,1.05815,25.396,36.17,0.0,,67.01,3110,54.08,,0,0,1,PV (Remote Reg Primary),0
111324,29.7189,-95.2319,7,GALENA_PARK_21,GALENA_PARK_21_2,Coast,18.0,1.05814,19.047,-53.26,0.0,,82.41,856,109.43,,0,0,1,PQ (Gens at Var Limit),0
111270,29.8162,-95.1077,7,CHANNELVIEW_13,CHANNELVIEW_13_2,Coast,20.0,1.05776,21.155,-52.2,0.0,,120.1,846,61.13,,0,0,1,PQ (Gens at Var Limit),0
111215,29.4829,-95.6311,7,THOMPSONS_6,THOMPSONS_6_9,Coast,18.0,1.05763,19.037,-44.43,0.0,,169.0,831,54.08,,0,0,1,PQ (Remote Reg Secondary),0
190193,32.8638,-100.9751,3,SNYDER_2,SNYDER_2_3,West,13.8,1.05746,14.593,27.06,0.0,,253.0,3131,109.69,,0,0,1,PQ (Gens at Var Limit),0
160263,27.0011,-97.5994,4,ARMSTRONG_2,ARMSTRONG_2_3,South,13.8,1.05742,14.592,29.39,0.0,,137.72,2418,86.16,,0,0,1,PQ (Gens at Var Limit),0
130355,32.32,-96.675,5,BARDWELL_2,BARDWELL_2_2,North_Central,20.0,1.05652,21.13,-39.7,0.0,,142.1,1570,124.76,,0,0,1,PQ (Gens at Var Limit),0
170564,33.5826,-96.6179,2,SHERMAN_5,SHERMAN_5_3,North,18.0,1.05648,19.017,-44.73,0.0,,32.74,2873,104.85,,0,0,1,PQ (Gens at Var Limit),0
170551,33.6308,-95.59,2,PARIS_7,PARIS_7_4,North,13.8,1.05636,14.578,-33.19,0.0,,35.4,2870,103.84,,0,0,1,PQ (Gens at Var Limit),0
200184,26.3489,-97.6668,4,LYFORD_2,LYFORD_2_3,South,13.8,1.05629,14.577,37.49,0.0,,201.6,3293,92.51,,0,0,1,PQ (Gens at Var Limit),0
190162,34.0806,-101.3236,2,LOCKNEY_3,LOCKNEY_3_3,North,18.0,1.05603,19.009,17.45,0.0,,32.48,3120,86.81,,0,0,1,PQ (Gens at Var Limit),0
250367,31.8908,-96.1131,8,FAIRFIELD_5,FAIRFIELD_5_2,East,24.0,1.05586,25.341,-33.46,0.0,,133.25,4556,45.76,,0,0,1,PV (Remote Reg Primary),0
160206,27.6065,-97.3117,4,CORPUS_CHRISTI_28,CORPUS_CHRISTI_28_4,South,18.0,1.05577,19.004,-2.13,0.0,,39.96,2404,53.51,,0,0,1,PQ (Remote Reg Secondary),0
190206,34.1705,-99.5634,2,CHILLICOTHE_3,CHILLICOTHE_3_3,North,24.0,1.05569,25.337,-1.71,0.0,,62.86,3136,67.31,,0,0,1,PQ (Gens at Var Limit),0
160288,26.9417,-97.6425,4,ARMSTRONG_4,ARMSTRONG_4_2,South,13.8,1.05526,14.563,32.93,0.0,,201.0,2427,37.58,,0,0,1,PV (Remote Reg Primary),0
140337,30.5581,-98.3705,6,HORSESHOE_BAY_5,HORSESHOE_BAY_5_4,South_Central,13.8,1.05521,14.562,-30.39,0.0,,63.06,1815,68.3,,0,0,1,PQ (Remote Reg Secondary),0
220025,29.7468,-104.545,1,PRESIDIO_3,PRESIDIO_3_1,Far_West,138.0,1.05518,145.614,36.64,0.0,,,3606,,,0,0,1,PQ,0
160208,27.6065,-97.3117,4,CORPUS_CHRISTI_28,CORPUS_CHRISTI_28_6,South,13.8,1.05496,14.558,-1.36,0.0,,92.25,2404,53.51,,0,0,1,PQ (Remote Reg Secondary),0
220200,29.6001,-104.3,1,PRESIDIO_4,PRESIDIO_4_1,Far_West,138.0,1.05485,145.57,36.18,0.0,,,3722,,,0,0,1,PQ,0
160270,27.0702,-97.5077,4,ARMSTRONG_3,ARMSTRONG_3_3,South,18.0,1.05475,18.985,30.16,0.0,,201.6,2420,69.19,,0,0,1,PQ (Gens at Var Limit),0
111307,29.0728,-95.745,7,SWEENY_5,SWEENY_5_3,Coast,24.0,1.05456,25.309,-40.6,0.0,,109.0,853,55.48,,0,0,1,PQ (Gens at Var Limit),0
190145,34.3112,-101.2511,2,SOUTH_PLAINS_1,SOUTH_PLAINS_1_3,North,13.8,1.05455,14.553,17.23,0.0,,29.64,3113,83.05,,0,0,1,PV (Remote Reg Primary),0
120473,29.2571,-98.384,6,ELMENDORF_12,ELMENDORF_12_3,South_Central,13.8,1.05453,14.553,-27.14,0.0,,30.66,1257,50.59,,0,0,1,PQ (Remote Reg Secondary),0
94,33.7522,-100.9674,2,MCADOO_1,MCADOO_1_3_94,North,18.0,1.05435,18.978,53.23,0.0,,102.71,3103,-9.82,,0,0,1,PQ (Remote Reg Secondary),0
96,33.7522,-100.9674,2,MCADOO_1,MCADOO_1_3_96,North,18.0,1.05435,18.978,53.23,0.0,,102.71,3103,-9.82,,0,0,1,PQ (Remote Reg Secondary),0
93,33.7522,-100.9674,2,MCADOO_1,MCADOO_1_3_93,North,18.0,1.05435,18.978,53.23,0.0,,102.71,3103,-9.82,,0,0,1,PV (Remote Reg Primary),0
95,33.7522,-100.9674,2,MCADOO_1,MCADOO_1_3_95,North,18.0,1.05435,18.978,53.23,0.0,,102.71,3103,-9.82,,0,0,1,PQ (Remote Reg Secondary),0
210327,31.8595,-97.3586,5,WHITNEY_5,WHITNEY_5_2,North_Central,24.0,1.0543,25.303,-28.71,0.0,,92.11,3574,101.8,,0,0,1,PQ (Gens at Var Limit),0
170550,33.6308,-95.59,2,PARIS_7,PARIS_7_3,North,13.8,1.05424,14.549,-33.05,0.0,,52.04,2870,103.84,,0,0,1,PQ (Gens at Var Limit),0
220013,29.5815,-104.347,1,PRESIDIO_2,PRESIDIO_2_1,Far_West,138.0,1.05417,145.475,36.15,15.46,5.54,,3594,,,0,0,1,PQ,0
160205,27.6065,-97.3117,4,CORPUS_CHRISTI_28,CORPUS_CHRISTI_28_3,South,13.8,1.05408,14.546,-0.77,0.0,,138.58,2404,53.51,,0,0,1,PV (Remote Reg Primary),0
220232,29.5663,-104.3554,1,PRESIDIO_5,PRESIDIO_5_2,Far_West,13.8,1.05405,14.546,36.65,0.0,,,3733,,,0,0,1,PQ,0
220231,29.5663,-104.3554,1,PRESIDIO_5,PRESIDIO_5_1,Far_West,138.0,1.05405,145.459,36.65,0.0,,,3733,,-5.33,0,0,1,PQ,0
220011,30.0282,-104.315,1,PRESIDIO_1,PRESIDIO_1_1,Far_West,138.0,1.05405,145.458,37.07,0.0,,,3593,,,0,0,1,PQ,0
104,29.9418,-95.5306,7,CYPRESS_54,CYPRESS_54_19_104,Coast,13.8,1.05388,14.544,-36.39,0.0,,275.0,830,49.1,,0,0,1,PQ (Remote Reg Secondary),0
103,29.9418,-95.5306,7,CYPRESS_54,CYPRESS_54_19_103,Coast,13.8,1.05388,14.544,-36.39,0.0,,275.0,830,49.1,,0,0,1,PV (Remote Reg Primary),0
190120,32.9291,-101.5786,1,ODONNELL_1,ODONNELL_1_2,Far_West,13.8,1.05363,14.54,38.65,0.0,,74.94,3104,37.38,,0,0,1,PV (Remote Reg Primary),0
220201,29.6001,-104.3,1,PRESIDIO_4,PRESIDIO_4_2,Far_West,13.8,1.05352,14.539,36.23,0.0,,1.88,3722,-2.77,,0,0,1,PQ (Gens at Var Limit),0
190196,33.9153,-99.7403,2,CROWELL_2,CROWELL_2_3,North,13.8,1.05336,14.536,6.36,0.0,,166.12,3132,68.28,,0,0,1,PV (Remote Reg Primary),0
220143,31.8403,-102.3264,1,ODESSA_18,ODESSA_18_3,Far_West,13.8,1.05336,14.536,28.15,0.0,,30.96,3703,77.29,,0,0,1,PQ (Remote Reg Secondary),0
240222,32.214,-100.0571,3,WINGATE_3,WINGATE_3_3,West,13.8,1.05334,14.536,13.9,0.0,,223.5,4189,106.46,,0,0,1,PQ (Gens at Var Limit),0
230265,29.9173,-96.7506,6,FAYETTEVILLE_2,FAYETTEVILLE_2_3,South_Central,13.8,1.05309,14.533,-25.95,0.0,,444.08,3993,108.82,,0,0,1,PQ (Remote Reg Secondary),0
160275,27.1197,-97.5499,4,RIVIERA_5,RIVIERA_5_2,South,13.8,1.05291,14.53,27.1,0.0,,201.0,2422,49.6,,0,0,1,PV (Remote Reg Primary),0
250372,31.8908,-96.1131,8,FAIRFIELD_5,FAIRFIELD_5_7,East,22.0,1.05279,23.161,-33.76,0.0,,149.0,4556,45.76,,0,0,1,PQ (Remote Reg Secondary),0
105,29.9418,-95.5306,7,CYPRESS_54,CYPRESS_54_19_105,Coast,13.8,1.0527,14.527,-40.0,0.0,,77.37,830,37.88,,0,0,1,PQ (Gens at Var Limit),0
250369,31.8908,-96.1131,8,FAIRFIELD_5,FAIRFIELD_5_4,East,13.8,1.05245,14.524,-34.31,0.0,,114.06,4556,45.76,,0,0,1,PQ (Remote Reg Secondary),0
240248,32.2878,-100.1,3,NOLAN_5,NOLAN_5_2,West,18.0,1.05239,18.943,11.66,0.0,,170.2,4199,64.76,,0,0,1,PQ (Gens at Var Limit),0
190165,34.7201,-102.2533,2,UMBARGER_4,UMBARGER_4_3,North,13.8,1.05224,14.521,38.3,0.0,,299.7,3121,52.63,,0,0,1,PV (Remote Reg Primary),0
200172,26.3418,-98.1758,4,EDINBURG_16,EDINBURG_16_2,South,13.8,1.05221,14.52,34.76,0.0,,71.62,3290,48.29,,0,0,1,PV (Remote Reg Primary),0
111356,29.3781,-94.9328,7,TEXAS_CITY_9,TEXAS_CITY_9_4,Coast,18.0,1.05183,18.933,-52.73,0.0,,44.23,862,80.42,,0,0,1,PQ (Gens at Var Limit),0
120444,29.2567,-98.3825,6,ELMENDORF_11,ELMENDORF_11_5,South_Central,18.0,1.05167,18.93,-26.9,0.0,,57.33,1252,50.59,,0,0,1,PV (Remote Reg Primary),0
190123,32.9264,-101.6478,1,ODONNELL_2,ODONNELL_2_3,Far_West,18.0,1.05164,18.93,35.79,0.0,,211.0,3105,47.76,,0,0,1,PV (Remote Reg Primary),0
111213,29.4829,-95.6311,7,THOMPSONS_6,THOMPSONS_6_7,Coast,13.8,1.05137,14.509,-45.78,0.0,,153.75,831,54.08,,0,0,1,PQ (Remote Reg Secondary),0
206,28.1093,-97.7505,4,MATHIS_4,MATHIS_4_4_206,South,24.0,1.05124,25.23,4.9,0.0,,42.13,2431,53.13,,0,0,1,PQ,0
120446,29.2567,-98.3825,6,ELMENDORF_11,ELMENDORF_11_7,South_Central,13.8,1.05116,14.506,-27.04,0.0,,48.81,1252,50.59,,0,0,1,PQ (Remote Reg Secondary),0
180126,26.3806,-98.8183,4,GRULLA_2,GRULLA_2_3,South,13.8,1.051,14.504,35.97,0.0,,200.0,2990,56.27,,0,0,1,PV (Remote Reg Primary),0
210334,31.4745,-96.9571,5,RIESEL_5,RIESEL_5_3,North_Central,13.8,1.05066,14.499,-24.17,0.0,,402.18,3575,121.5,,0,0,1,PV (Remote Reg Primary),0
240275,31.9925,-101.1167,1,STERLING_CITY_3,STERLING_CITY_3_3,Far_West,13.8,1.05065,14.499,23.31,0.0,,199.5,4206,60.91,,0,0,1,PQ (Gens at Var Limit),0
111212,29.4829,-95.6311,7,THOMPSONS_6,THOMPSONS_6_6,Coast,22.0,1.05058,23.113,-45.19,0.0,,217.58,831,54.08,,0,0,1,PQ (Remote Reg Secondary),0
111315,29.7248,-95.1765,7,PASADENA_7,PASADENA_7_6,Coast,13.8,1.05057,14.498,-53.66,0.0,,101.11,854,80.36,,0,0,1,PQ (Remote Reg Secondary),0
270213,29.7807,-97.9894,6,SAN_MARCOS_7,SAN_MARCOS_7_3,South_Central,13.8,1.05034,14.495,-33.78,0.0,,88.69,4892,48.83,,0,0,1,PQ (Remote Reg Secondary),0
140336,30.5581,-98.3705,6,HORSESHOE_BAY_5,HORSESHOE_BAY_5_3,South_Central,13.8,1.05031,14.494,-30.73,0.0,,54.02,1815,68.3,,0,0,1,PV (Remote Reg Primary),0
190159,32.932,-101.1436,3,FLUVANNA_3,FLUVANNA_3_2,West,24.0,1.04988,25.197,33.81,0.0,,155.4,3119,47.46,,0,0,1,PV (Remote Reg Primary),0
160291,27.5925,-97.5008,4,CORPUS_CHRISTI_33,CORPUS_CHRISTI_33_3,South,18.0,1.04987,18.898,0.39,0.0,,249.0,2428,80.0,,0,0,1,PQ (Gens at Var Limit),0
274,29.6226,-95.0458,7,SEABROOK_8,SEABROOK_8_6_274,Coast,13.8,1.04984,14.488,-47.56,0.0,,112.34,836,29.57,,0,0,1,PQ (Remote Reg Secondary),0
230276,30.7217,-96.4608,8,MUMFORD_2,MUMFORD_2_4,East,13.8,1.04976,14.487,-34.63,0.0,,110.0,3995,55.99,,0,0,1,PQ (Gens at Var Limit),0
111210,29.4829,-95.6311,7,THOMPSONS_6,THOMPSONS_6_4,Coast,13.8,1.04966,14.485,-44.74,0.0,,274.82,831,54.08,,0,0,1,PQ (Remote Reg Secondary),0
250368,31.8908,-96.1131,8,FAIRFIELD_5,FAIRFIELD_5_3,East,18.0,1.04965,18.894,-34.85,0.0,,97.97,4556,45.76,,0,0,1,PQ (Remote Reg Secondary),0
160303,27.9551,-97.3002,4,GREGORY_4,GREGORY_4_2,South,13.8,1.04965,14.485,-0.47,0.0,,162.9,2432,45.63,,0,0,1,PV (Remote Reg Primary),0
272,29.6226,-95.0458,7,SEABROOK_8,SEABROOK_8_6_272,Coast,13.8,1.04936,14.481,-45.97,0.0,,203.48,836,29.57,,0,0,1,PV (Remote Reg Primary),0
273,29.6226,-95.0458,7,SEABROOK_8,SEABROOK_8_6_273,Coast,13.8,1.0492,14.479,-45.69,0.0,,219.82,836,29.57,,0,0,1,PQ (Remote Reg Secondary),0
111372,29.7516,-94.9231,7,BAYTOWN_14,BAYTOWN_14_3,Coast,20.0,1.04905,20.981,-52.16,0.0,,123.21,865,43.28,,0,0,1,PV (Remote Reg Primary),0
220216,31.7272,-101.582,1,GARDEN_CITY_4,GARDEN_CITY_4_2,Far_West,18.0,1.04902,18.882,28.21,0.0,,95.12,3727,22.05,,0,0,1,PV (Remote Reg Primary),0
111211,29.4829,-95.6311,7,THOMPSONS_6,THOMPSONS_6_5,Coast,20.0,1.04902,20.98,-44.61,0.0,,301.25,831,54.08,,0,0,1,PQ (Remote Reg Secondary),0
270215,29.7807,-97.9894,6,SAN_MARCOS_7,SAN_MARCOS_7_5,South_Central,13.8,1.04901,14.476,-34.44,0.0,,49.79,4892,48.83,,0,0,1,PQ (Remote Reg Secondary),0
220024,30.413,-104.647,1,VALENTINE_1,VALENTINE_1_1,Far_West,138.0,1.04894,144.754,39.22,1.16,0.46,,3605,,-9.02,0,0,1,PQ,0
220234,31.2418,-102.2903,1,MC_CAMEY_6,MC_CAMEY_6_2,Far_West,13.8,1.04885,14.474,34.58,0.0,,150.0,3734,26.81,,0,0,1,PV (Remote Reg Primary),0
171,32.3182,-100.177,3,NOLAN_4,NOLAN_4_4_171,West,13.8,1.04878,14.473,23.79,0.0,,134.96,4195,29.94,,0,0,1,PQ (Remote Reg Secondary),0
172,32.3182,-100.177,3,NOLAN_4,NOLAN_4_4_172,West,13.8,1.04878,14.473,23.79,0.0,,134.96,4195,29.94,,0,0,1,PQ (Remote Reg Secondary),0
170,32.3182,-100.177,3,NOLAN_4,NOLAN_4_4_170,West,13.8,1.04877,14.473,23.8,0.0,,135.22,4195,29.94,,0,0,1,PQ (Remote Reg Secondary),0
120467,28.7045,-98.4775,4,CHRISTINE_4,CHRISTINE_4_2,South,20.0,1.0487,20.974,-15.32,0.0,,136.06,1255,94.78,,0,0,1,PV (Remote Reg Primary),0
173,32.3182,-100.177,3,NOLAN_4,NOLAN_4_4_173,West,13.8,1.04862,14.471,24.13,0.0,,155.3,4195,29.94,,0,0,1,PQ (Remote Reg Secondary),0
