BUS UID,Bus ID,Name of Bus,ID,Status,Gen MW,PMin MW,PMax MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Price $/MMBTU,IOD,AVR,RegBus Num,Fuel,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model,GEN UID,Unit Type,Ramp Rate MW/Min,Min Up Time Hr,Min Down Time Hr,Unit Group,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fixed Cost($/hr),MW Break 1,MWh Price 1,MW Break 2,MWh Price 2,MW Break 3,MWh Price 3,MW Break 4,MWh Price 4,MW Break 5,MWh Price 5
100_PB,100,DOUGHERTY 2 3 100,PB,Closed,22.3,22.3,120.0,YES,5,10.0,0.01,0.0,1.0,0,YES,3,WND (Wind),1.0,-39.13,45.9,YES,120.0,Piecewise Linear,OnshoreWindTurbine_100_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1,22.3,10.54,41.84,10.93,61.38,11.33,80.92,11.72,100.46,12.11
101_PC,101,DOUGHERTY 2 3 101,PC,Closed,22.3,22.3,120.0,YES,5,10.0,0.01,0.0,1.0,0,YES,3,WND (Wind),1.0,-39.13,45.9,YES,22.3,Piecewise Linear,OnshoreWindTurbine_101_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1,22.3,10.54,41.84,10.93,61.38,11.33,80.92,11.72,100.46,12.11
102_PP,102,DOUGHERTY 2 3 102,PP,Closed,22.31,22.31,57.15,YES,5,10.0,0.01,0.0,1.0,0,YES,3,WND (Wind),1.0,-19.81,28.21,YES,57.15,Piecewise Linear,OnshoreWindTurbine_102_PP,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.58,22.31,10.48,29.28,10.62,36.25,10.76,43.21,10.9,50.18,11.04
103_1,103,CYPRESS 54 19 103,1,Closed,275.0,104.12,275.0,YES,5,10.0,0.01,0.0,1.0,0,YES,4,NG (Natural Gas),1.04,-89.13,131.81,YES,275.0,Piecewise Linear,NaturalGasFiredCombinedCycle_103_1,Natural Gas Fired Combined Cycle,1.815,4,4,U275,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,1492.7,104.12,12.25,138.3,12.94,172.47,13.62,206.65,14.3,240.82,14.99
104_PA,104,CYPRESS 54 19 104,PA,Closed,275.0,104.12,275.0,YES,5,10.0,0.01,0.0,1.0,0,YES,4,NG (Natural Gas),1.04,-89.13,131.81,YES,275.0,Piecewise Linear,NaturalGasFiredCombinedCycle_104_PA,Natural Gas Fired Combined Cycle,1.815,4,4,U275,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,1492.7,104.12,12.25,138.3,12.94,172.47,13.62,206.65,14.3,240.82,14.99
105_PP,105,CYPRESS 54 19 105,PP,Closed,77.37,14.88,77.37,YES,5,10.0,0.01,0.0,1.0,0,YES,4,NG (Natural Gas),1.04,-23.55,37.88,YES,77.37,Piecewise Linear,NaturalGasFiredCombinedCycle_105_PP,Natural Gas Fired Combined Cycle,0.6006,4,4,U78,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,180.37,14.88,10.36,27.38,10.61,39.88,10.86,52.37,11.11,64.87,11.36
106_1,106,SHIRO 3 6 106,1,Closed,284.17,140.28,500.0,YES,5,10.0,0.01,0.0,1.0,0,YES,5,NG (Natural Gas),1.0,-163.21,254.12,YES,10.0,Piecewise Linear,NaturalGasSteamTurbine_106_1,Natural Gas Steam Turbine,2.7108,8,8,U502,12.0,6.0,3.0,1457.4,1122.5,452.8,0.0,2160.79,140.28,13.17,212.22,14.6,284.17,16.04,356.11,17.48,428.06,18.92
107_PA,107,SHIRO 3 6 107,PA,Closed,275.64,140.28,500.0,YES,5,10.0,0.01,0.0,1.0,0,YES,5,NG (Natural Gas),1.0,-163.21,254.12,YES,10.0,Piecewise Linear,NaturalGasSteamTurbine_107_PA,Natural Gas Steam Turbine,2.7108,8,8,U502,12.0,6.0,3.0,1457.4,1122.5,452.8,0.0,2160.79,140.28,13.17,212.22,14.6,284.17,16.04,356.11,17.48,428.06,18.92
108_PP,108,SHIRO 3 6 108,PP,Closed,154.73,22.45,154.73,YES,5,10.0,0.01,0.0,1.0,0,YES,5,NG (Natural Gas),1.0,-49.11,78.19,YES,154.73,Piecewise Linear,NaturalGasFiredCombinedCycle_108_PP,Natural Gas Fired Combined Cycle,1.122,4,4,U154,1.0,0.5,0.25,7215.1,4536.1,3196.6,0.0,277.93,22.45,10.58,48.91,11.11,75.36,11.64,101.82,12.17,128.27,12.7
109_1,109,CYPRESS 54 20 109,1,Closed,233.48,35.91,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,6,NG (Natural Gas),1.0,-82.13,113.45,YES,10.0,Piecewise Linear,OnshoreWindTurbine_109_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.32,35.91,10.93,78.73,11.79,121.55,12.65,164.36,13.5,207.18,14.36
110_PA,110,CYPRESS 54 20 110,PA,Closed,233.48,35.91,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,6,NG (Natural Gas),1.0,-82.13,113.45,YES,10.0,Piecewise Linear,OnshoreWindTurbine_110_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.32,35.91,10.93,78.73,11.79,121.55,12.65,164.36,13.5,207.18,14.36
111_PP,111,CYPRESS 54 20 111,PP,Closed,77.37,15.97,77.37,YES,5,10.0,0.01,0.0,1.0,0,YES,5,NG (Natural Gas),1.0,-22.91,38.29,YES,77.37,Piecewise Linear,NaturalGasFiredCombinedCycle_111_PP,Natural Gas Fired Combined Cycle,0.6006,4,4,U78,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,193.96,15.97,10.38,28.25,10.63,40.53,10.87,52.81,11.12,65.09,11.36
112_1,112,DOOLE 1 3 112,1,Closed,32.14,32.14,160.0,YES,5,10.0,0.01,0.0,1.0,0,YES,7,WND (Wind),1.04,-53.58,64.8,YES,160.0,Piecewise Linear,OnshoreWindTurbine_112_1,Onshore Wind Turbine,1.056,4,4,Onshore Wind Turbine,1.0,0.5,0.25,7215.1,4536.1,3196.6,0.0,405.02,32.14,10.77,57.71,11.28,83.28,11.79,108.86,12.3,134.43,12.82
113_PA,113,DOOLE 1 3 113,PA,Closed,32.14,32.14,160.0,YES,5,10.0,0.01,0.0,1.0,0,YES,7,WND (Wind),1.04,-53.58,64.8,YES,160.0,Piecewise Linear,OnshoreWindTurbine_113_PA,Onshore Wind Turbine,1.056,4,4,Onshore Wind Turbine,1.0,0.5,0.25,7215.1,4536.1,3196.6,0.0,405.02,32.14,10.77,57.71,11.28,83.28,11.79,108.86,12.3,134.43,12.82
114_PB,114,DOOLE 1 3 114,PB,Closed,32.14,32.14,160.0,YES,5,10.0,0.01,0.0,1.0,0,YES,7,WND (Wind),1.04,-53.58,64.8,YES,160.0,Piecewise Linear,OnshoreWindTurbine_114_PB,Onshore Wind Turbine,1.056,4,4,Onshore Wind Turbine,1.0,0.5,0.25,7215.1,4536.1,3196.6,0.0,405.02,32.14,10.77,57.71,11.28,83.28,11.79,108.86,12.3,134.43,12.82
115_PC,115,DOOLE 1 3 115,PC,Closed,32.14,32.14,160.0,YES,5,10.0,0.01,0.0,1.0,0,YES,7,WND (Wind),1.04,-53.8,64.8,YES,160.0,Piecewise Linear,OnshoreWindTurbine_115_PC,Onshore Wind Turbine,1.056,4,4,Onshore Wind Turbine,1.0,0.5,0.25,7215.1,4536.1,3196.6,0.0,405.02,32.14,10.77,57.71,11.28,83.28,11.79,108.86,12.3,134.43,12.82
116_PP,116,DOOLE 1 3 116,PP,Closed,15.81,15.81,76.2,YES,5,10.0,0.01,0.0,1.0,0,YES,7,WND (Wind),1.04,-22.31,39.52,YES,76.2,Piecewise Linear,OnshoreWindTurbine_116_PP,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.94,15.81,10.38,27.89,10.62,39.97,10.86,52.04,11.1,64.12,11.34
117_1,117,LYFORD 2 4 117,1,Closed,48.73,48.73,144.9,YES,5,10.0,0.01,0.0,1.0,0,YES,8,WND (Wind),1.0,-42.13,73.86,YES,144.9,Piecewise Linear,OnshoreWindTurbine_117_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.19,48.73,11.07,67.96,11.46,87.2,11.84,106.43,12.22,125.67,12.61
118_PA,118,LYFORD 2 4 118,PA,Closed,48.73,48.73,144.9,YES,5,10.0,0.01,0.0,1.0,0,YES,8,WND (Wind),1.0,-42.13,73.86,YES,144.9,Piecewise Linear,OnshoreWindTurbine_118_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.19,48.73,11.07,67.96,11.46,87.2,11.84,106.43,12.22,125.67,12.61
119_PB,119,LYFORD 2 4 119,PB,Closed,48.73,48.73,144.9,YES,5,10.0,0.01,0.0,1.0,0,YES,8,WND (Wind),1.0,-42.13,73.86,YES,144.9,Piecewise Linear,OnshoreWindTurbine_119_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.19,48.73,11.07,67.96,11.46,87.2,11.84,106.43,12.22,125.67,12.61
120_PC,120,LYFORD 2 4 120,PC,Closed,48.73,48.73,144.9,YES,5,10.0,0.01,0.0,1.0,0,YES,8,WND (Wind),1.0,-42.13,73.86,YES,144.9,Piecewise Linear,OnshoreWindTurbine_120_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.19,48.73,11.07,67.96,11.46,87.2,11.84,106.43,12.22,125.67,12.61
121_PP,121,LYFORD 2 4 121,PP,Closed,17.22,17.22,69.01,YES,5,10.0,0.01,0.0,1.0,0,YES,8,WND (Wind),1.0,-19.22,35.23,YES,69.01,Piecewise Linear,OnshoreWindTurbine_121_PP,Onshore Wind Turbine,0.5148,4,4,Onshore Wind Turbine,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,209.46,17.22,10.4,27.58,10.6,37.94,10.81,48.29,11.02,58.65,11.22
122_1,122,GALENA PARK 18 8 122,1,Closed,103.85,41.21,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,9,SUN (Solar),1.04,-81.21,109.31,YES,10.0,Piecewise Linear,SolarPhotovoltaic_122_1,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.96,41.21,11.03,82.97,11.87,124.73,12.7,166.48,13.54,208.24,14.37
123_PA,123,GALENA PARK 18 8 123,PA,Closed,103.85,41.21,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,9,SUN (Solar),1.04,-81.21,109.31,YES,10.0,Piecewise Linear,SolarPhotovoltaic_123_PA,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.96,41.21,11.03,82.97,11.87,124.73,12.7,166.48,13.54,208.24,14.37
124_PP,124,GALENA PARK 18 8 124,PP,Closed,96.58,88.13,191.91,YES,5,10.0,0.01,0.0,1.0,0,YES,9,SUN (Solar),1.04,-58.21,97.21,YES,1.92,Piecewise Linear,SolarPhotovoltaic_124_PP,Solar Photovoltaic,1.254,4,4,Solar Photovoltaic,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,1223.57,88.13,11.87,108.89,12.28,129.64,12.7,150.4,13.11,171.15,13.53
125_1,125,LORAINE 3 4 125,1,Closed,56.21,56.21,200.0,YES,5,10.0,0.01,0.0,1.0,0,YES,10,SUN (Solar),1.04,-54.12,78.21,YES,200.0,Piecewise Linear,SolarPhotovoltaic_125_1,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.05,56.21,11.27,84.97,11.84,113.73,12.42,142.48,12.99,171.24,13.57
126_PA,126,LORAINE 3 4 126,PA,Closed,56.21,56.21,200.0,YES,5,10.0,0.01,0.0,1.0,0,YES,10,SUN (Solar),1.04,-54.12,78.21,YES,200.0,Piecewise Linear,SolarPhotovoltaic_126_PA,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.05,56.21,11.27,84.97,11.84,113.73,12.42,142.48,12.99,171.24,13.57
127_PP,127,LORAINE 3 4 127,PP,Closed,55.12,55.12,153.52,YES,5,10.0,0.01,0.0,1.0,0,YES,10,SUN (Solar),1.04,-46.21,78.31,YES,153.52,Piecewise Linear,SolarPhotovoltaic_127_PP,Solar Photovoltaic,1.089,4,4,Solar Photovoltaic,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,722.34,55.12,11.2,74.8,11.59,94.48,11.99,114.16,12.38,133.84,12.78
128_1,128,BLACKWELL 2 6 128,1,Closed,48.85,16.21,125.0,YES,5,10.0,0.01,0.0,1.0,0,YES,11,SUN (Solar),1.04,-38.13,58.21,YES,10.0,Piecewise Linear,SolarPhotovoltaic_128_1,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.87,16.21,10.43,37.97,10.87,59.73,11.3,81.48,11.74,103.24,12.17
129_PA,129,BLACKWELL 2 6 129,PA,Closed,48.85,16.21,125.0,YES,5,10.0,0.01,0.0,1.0,0,YES,11,SUN (Solar),1.04,-38.13,58.21,YES,10.0,Piecewise Linear,SolarPhotovoltaic_129_PA,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.87,16.21,10.43,37.97,10.87,59.73,11.3,81.48,11.74,103.24,12.17
130_PP,130,BLACKWELL 2 6 130,PP,Closed,51.82,32.91,95.95,YES,5,10.0,0.01,0.0,1.0,0,YES,11,SUN (Solar),1.04,-24.51,48.91,YES,95.95,Piecewise Linear,SolarPhotovoltaic_130_PP,Solar Photovoltaic,0.7029,4,4,Solar Photovoltaic,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,412.82,32.91,10.72,45.52,10.97,58.13,11.23,70.73,11.48,83.34,11.73
131_1,131,KNICKERBOCKER 7 3 131,1,Closed,61.21,61.21,200.0,YES,5,10.0,0.01,0.0,1.0,0,YES,12,SUN (Solar),1.04,-51.21,89.13,YES,10.0,Piecewise Linear,SolarPhotovoltaic_131_1,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.77,61.21,11.36,88.97,11.92,116.73,12.47,144.48,13.03,172.24,13.58
132_PA,132,KNICKERBOCKER 7 3 132,PA,Closed,61.21,61.21,200.0,YES,5,10.0,0.01,0.0,1.0,0,YES,12,SUN (Solar),1.04,-51.21,89.13,YES,10.0,Piecewise Linear,SolarPhotovoltaic_132_PA,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.77,61.21,11.36,88.97,11.92,116.73,12.47,144.48,13.03,172.24,13.58
133_PP,133,KNICKERBOCKER 7 3 133,PP,Closed,57.1,57.1,153.52,YES,5,10.0,0.01,0.0,1.0,0,YES,12,SUN (Solar),1.04,-45.12,78.12,YES,153.52,Piecewise Linear,SolarPhotovoltaic_133_PP,Solar Photovoltaic,1.089,4,4,Solar Photovoltaic,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,750.81,57.1,11.24,76.38,11.62,95.67,12.01,114.95,12.4,134.24,12.78
134_1,134,ROTAN 2 3 134,1,Closed,42.13,42.13,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,13,WND (Wind),1.04,-72.31,113.21,YES,250.0,Piecewise Linear,OnshoreWindTurbine_134_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7,42.13,11.05,83.7,11.88,125.28,12.71,166.85,13.54,208.43,14.38
135_PA,135,ROTAN 2 3 135,PA,Closed,42.13,42.13,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,13,WND (Wind),1.04,-72.31,113.21,YES,250.0,Piecewise Linear,OnshoreWindTurbine_135_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7,42.13,11.05,83.7,11.88,125.28,12.71,166.85,13.54,208.43,14.38
136_PB,136,ROTAN 2 3 136,PB,Closed,42.13,42.13,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,13,WND (Wind),1.04,-72.31,113.21,YES,250.0,Piecewise Linear,OnshoreWindTurbine_136_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7,42.13,11.05,83.7,11.88,125.28,12.71,166.85,13.54,208.43,14.38
137_PC,137,ROTAN 2 3 137,PC,Closed,42.13,42.13,250.0,YES,5,10.0,0.01,0.0,1.0,0,YES,13,WND (Wind),1.04,-72.31,113.21,YES,250.0,Piecewise Linear,OnshoreWindTurbine_137_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7,42.13,11.05,83.7,11.88,125.28,12.71,166.85,13.54,208.43,14.38
138_PP,138,ROTAN 2 3 138,PP,Closed,43.67,27.81,119.07,YES,5,10.0,0.01,0.0,1.0,0,YES,13,WND (Wind),1.04,-38.22,43.21,YES,119.07,Piecewise Linear,OnshoreWindTurbine_138_PP,Onshore Wind Turbine,0.6588,8,8,Onshore Wind Turbine,13.0,6.5,3.25,1457.4,1122.5,452.8,0.0,346.44,27.81,10.65,46.06,11.01,64.31,11.38,82.57,11.74,100.82,12.11
139_1,139,LAREDO 13 4 139,1,Closed,92.07,41.78,209.4,YES,5,10.0,0.01,0.0,1.0,0,YES,14,WND (Wind),1.04,-62.13,74.13,YES,209.4,Piecewise Linear,OnshoreWindTurbine_139_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.87,41.78,11.0,75.3,11.67,108.83,12.34,142.35,13.01,175.88,13.69
140_PA,140,LAREDO 13 4 140,PA,Closed,92.07,41.78,209.4,YES,5,10.0,0.01,0.0,1.0,0,YES,14,WND (Wind),1.04,-62.13,74.13,YES,209.4,Piecewise Linear,OnshoreWindTurbine_140_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.87,41.78,11.0,75.3,11.67,108.83,12.34,142.35,13.01,175.88,13.69
141_PB,141,LAREDO 13 4 141,PB,Closed,92.07,41.78,209.4,YES,5,10.0,0.01,0.0,1.0,0,YES,14,WND (Wind),1.04,-62.13,74.13,YES,209.4,Piecewise Linear,OnshoreWindTurbine_141_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.87,41.78,11.0,75.3,11.67,108.83,12.34,142.35,13.01,175.88,13.69
142_PC,142,LAREDO 13 4 142,PC,Closed,92.07,41.78,209.4,YES,5,10.0,0.01,0.0,1.0,0,YES,14,WND (Wind),1.04,-62.13,74.13,YES,209.4,Piecewise Linear,OnshoreWindTurbine_142_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.87,41.78,11.0,75.3,11.67,108.83,12.34,142.35,13.01,175.88,13.69
143_PP,143,LAREDO 13 4 143,PP,Closed,87.14,18.22,99.73,YES,5,10.0,0.01,0.0,1.0,0,YES,14,WND (Wind),1.04,-32.13,38.21,YES,99.73,Piecewise Linear,OnshoreWindTurbine_143_PP,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.68,18.22,10.45,34.52,10.77,50.82,11.1,67.13,11.42,83.43,11.75
144_1,144,CROWELL 2 4 144,1,Closed,51.31,51.31,225.6,YES,5,10.0,0.01,0.0,1.0,0,YES,15,WND (Wind),1.04,-76.46,109.59,YES,225.6,Piecewise Linear,OnshoreWindTurbine_144_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.4,51.31,11.2,86.17,11.9,121.03,12.59,155.88,13.29,190.74,13.99
145_PA,145,CROWELL 2 4 145,PA,Closed,51.31,51.31,225.6,YES,5,10.0,0.01,0.0,1.0,0,YES,15,WND (Wind),1.04,-76.46,109.59,YES,225.6,Piecewise Linear,OnshoreWindTurbine_145_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.4,51.31,11.2,86.17,11.9,121.03,12.59,155.88,13.29,190.74,13.99
146_PB,146,CROWELL 2 4 146,PB,Closed,51.31,51.31,225.6,YES,5,10.0,0.01,0.0,1.0,0,YES,15,WND (Wind),1.04,-76.46,109.59,YES,225.6,Piecewise Linear,OnshoreWindTurbine_146_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.4,51.31,11.2,86.17,11.9,121.03,12.59,155.88,13.29,190.74,13.99
147_PC,147,CROWELL 2 4 147,PC,Closed,51.31,51.31,225.6,YES,5,10.0,0.01,0.0,1.0,0,YES,15,WND (Wind),1.04,-76.46,109.59,YES,225.6,Piecewise Linear,OnshoreWindTurbine_147_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.4,51.31,11.2,86.17,11.9,121.03,12.59,155.88,13.29,190.74,13.99
148_PP,148,CROWELL 2 4 148,PP,Closed,38.12,38.12,107.45,YES,5,10.0,0.01,0.0,1.0,0,YES,15,WND (Wind),1.04,-31.23,54.72,YES,107.45,Piecewise Linear,OnshoreWindTurbine_148_PP,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.1,38.12,10.83,51.99,11.11,65.85,11.39,79.72,11.66,93.58,11.94
